#Encoding:ASCII;;;;;;
#Separator:;;;;;;
#GpsTimeFormat:hh:mm:ss.ffff;;;;;;
#CpuTimeFormat:hh:mm:ss.fff;;;;;;
#Creation:06/16/2008 12:05:15.000;;;;;;
#Description:;;;;;;
#Fields:GPS_Lat;GPS_Lon;GPS_Date;GPS_Time;CPU_Date;CPU_Time;EventId
40,36935167;-3,803785;06/16/2008;10:16:40.0000;06/16/2008;11:38:55.719;0
40,36935167;-3,803785;06/16/2008;10:16:40.0000;06/16/2008;11:38:55.824;0
40,36930333;-3,803846667;06/16/2008;10:16:41.0000;06/16/2008;11:38:55.981;0
40,36928;-3,803875;06/16/2008;10:16:41.0000;06/16/2008;11:38:56.219;0
40,36928;-3,803875;06/16/2008;10:16:41.0000;06/16/2008;11:38:56.326;0
40,36925667;-3,803905;06/16/2008;10:16:41.0000;06/16/2008;11:38:56.469;0
40,36923667;-3,803935;06/16/2008;10:16:41.0000;06/16/2008;11:38:56.719;0
40,36923667;-3,803935;06/16/2008;10:16:41.0000;06/16/2008;11:38:56.865;0
40,36919;-3,803996667;06/16/2008;10:16:42.0000;06/16/2008;11:38:56.981;0
40,36916667;-3,804028333;06/16/2008;10:16:42.0000;06/16/2008;11:38:57.218;0
40,36916667;-3,804028333;06/16/2008;10:16:42.0000;06/16/2008;11:38:57.365;0
40,36914167;-3,80406;06/16/2008;10:16:42.0000;06/16/2008;11:38:57.469;0
40,36911833;-3,804091667;06/16/2008;10:16:42.0000;06/16/2008;11:38:57.719;0
40,36911833;-3,804091667;06/16/2008;10:16:42.0000;06/16/2008;11:38:57.866;0
40,36907;-3,804153333;06/16/2008;10:16:43.0000;06/16/2008;11:38:57.981;0
40,369045;-3,804185;06/16/2008;10:16:43.0000;06/16/2008;11:38:58.219;0
40,369045;-3,804185;06/16/2008;10:16:43.0000;06/16/2008;11:38:58.367;0
40,36902167;-3,804216667;06/16/2008;10:16:43.0000;06/16/2008;11:38:58.469;0
40,36899833;-3,804248333;06/16/2008;10:16:43.0000;06/16/2008;11:38:58.719;0
40,36899833;-3,804248333;06/16/2008;10:16:43.0000;06/16/2008;11:38:58.907;0
40,36895;-3,80431;06/16/2008;10:16:44.0000;06/16/2008;11:38:58.982;0
40,36892667;-3,804343333;06/16/2008;10:16:44.0000;06/16/2008;11:38:59.219;0
40,36892667;-3,804343333;06/16/2008;10:16:44.0000;06/16/2008;11:38:59.407;0
40,36890333;-3,804375;06/16/2008;10:16:44.0000;06/16/2008;11:38:59.474;0
40,36885333;-3,804436667;06/16/2008;10:16:45.0000;06/16/2008;11:38:59.733;0
40,36885333;-3,804436667;06/16/2008;10:16:45.0000;06/16/2008;11:38:59.908;0
40,36883;-3,804468333;06/16/2008;10:16:45.0000;06/16/2008;11:38:59.975;0
40,368805;-3,804498333;06/16/2008;10:16:45.0000;06/16/2008;11:39:00.219;0
40,368805;-3,804498333;06/16/2008;10:16:45.0000;06/16/2008;11:39:00.409;0
40,36878167;-3,804528333;06/16/2008;10:16:45.0000;06/16/2008;11:39:00.475;0
40,36873333;-3,804591667;06/16/2008;10:16:45.0000;06/16/2008;11:39:00.733;0
40,36873333;-3,804591667;06/16/2008;10:16:45.0000;06/16/2008;11:39:00.947;0
40,36870833;-3,804621667;06/16/2008;10:16:46.0000;06/16/2008;11:39:00.997;0
40,36868333;-3,804651667;06/16/2008;10:16:46.0000;06/16/2008;11:39:01.219;0
40,36868333;-3,804651667;06/16/2008;10:16:46.0000;06/16/2008;11:39:01.447;0
40,36865833;-3,804683333;06/16/2008;10:16:46.0000;06/16/2008;11:39:01.469;0
40,36863333;-3,804713333;06/16/2008;10:16:46.0000;06/16/2008;11:39:01.718;0
40,36863333;-3,804713333;06/16/2008;10:16:46.0000;06/16/2008;11:39:01.948;0
40,36858333;-3,804775;06/16/2008;10:16:47.0000;06/16/2008;11:39:01.981;0
40,36855667;-3,804806667;06/16/2008;10:16:47.0000;06/16/2008;11:39:02.218;0
40,36855667;-3,804806667;06/16/2008;10:16:47.0000;06/16/2008;11:39:02.449;0
40,36853167;-3,804836667;06/16/2008;10:16:47.0000;06/16/2008;11:39:02.469;0
40,36850667;-3,804868333;06/16/2008;10:16:47.0000;06/16/2008;11:39:02.718;0
40,36850667;-3,804868333;06/16/2008;10:16:47.0000;06/16/2008;11:39:03.000;0
40,36845833;-3,804928333;06/16/2008;10:16:48.0000;06/16/2008;11:39:03.010;0
40,36843333;-3,80496;06/16/2008;10:16:48.0000;06/16/2008;11:39:03.220;0
40,36840833;-3,80499;06/16/2008;10:16:48.0000;06/16/2008;11:39:03.468;0
40,36840833;-3,80499;06/16/2008;10:16:48.0000;06/16/2008;11:39:03.488;0
40,368385;-3,80502;06/16/2008;10:16:48.0000;06/16/2008;11:39:03.718;0
40,36833667;-3,805083333;06/16/2008;10:16:49.0000;06/16/2008;11:39:03.982;0
40,36833667;-3,805083333;06/16/2008;10:16:49.0000;06/16/2008;11:39:03.994;0
40,36831333;-3,805115;06/16/2008;10:16:49.0000;06/16/2008;11:39:04.219;0
40,36828833;-3,805146667;06/16/2008;10:16:49.0000;06/16/2008;11:39:04.468;0
40,36828833;-3,805146667;06/16/2008;10:16:49.0000;06/16/2008;11:39:04.495;0
40,36826167;-3,805178333;06/16/2008;10:16:49.0000;06/16/2008;11:39:04.718;0
40,36821667;-3,805243333;06/16/2008;10:16:50.0000;06/16/2008;11:39:05.031;0
40,36821667;-3,805243333;06/16/2008;10:16:50.0000;06/16/2008;11:39:05.043;0
40,36819333;-3,805275;06/16/2008;10:16:50.0000;06/16/2008;11:39:05.218;0
40,36816833;-3,805306667;06/16/2008;10:16:50.0000;06/16/2008;11:39:05.469;0
40,36816833;-3,805306667;06/16/2008;10:16:50.0000;06/16/2008;11:39:05.531;0
40,368145;-3,805338333;06/16/2008;10:16:50.0000;06/16/2008;11:39:05.749;0
40,36809833;-3,805403333;06/16/2008;10:16:51.0000;06/16/2008;11:39:05.981;0
40,36809833;-3,805403333;06/16/2008;10:16:51.0000;06/16/2008;11:39:06.031;0
40,36807333;-3,805435;06/16/2008;10:16:51.0000;06/16/2008;11:39:06.218;0
40,36804833;-3,805466667;06/16/2008;10:16:51.0000;06/16/2008;11:39:06.469;0
40,36804833;-3,805466667;06/16/2008;10:16:51.0000;06/16/2008;11:39:06.533;0
40,36802833;-3,805496667;06/16/2008;10:16:51.0000;06/16/2008;11:39:06.718;0
40,36798167;-3,80556;06/16/2008;10:16:52.0000;06/16/2008;11:39:06.982;0
40,36798167;-3,80556;06/16/2008;10:16:52.0000;06/16/2008;11:39:07.070;0
40,36795833;-3,80559;06/16/2008;10:16:52.0000;06/16/2008;11:39:07.222;0
40,367935;-3,805621667;06/16/2008;10:16:52.0000;06/16/2008;11:39:07.468;0
40,367935;-3,805621667;06/16/2008;10:16:52.0000;06/16/2008;11:39:07.571;0
40,36791;-3,805651667;06/16/2008;10:16:52.0000;06/16/2008;11:39:07.720;0
40,36786167;-3,805713333;06/16/2008;10:16:53.0000;06/16/2008;11:39:07.981;0
40,36786167;-3,805713333;06/16/2008;10:16:53.0000;06/16/2008;11:39:08.071;0
40,36783833;-3,805745;06/16/2008;10:16:53.0000;06/16/2008;11:39:08.218;0
40,367815;-3,805773333;06/16/2008;10:16:53.0000;06/16/2008;11:39:08.468;0
40,367815;-3,805773333;06/16/2008;10:16:53.0000;06/16/2008;11:39:08.573;0
40,36779167;-3,805805;06/16/2008;10:16:53.0000;06/16/2008;11:39:08.718;0
40,367745;-3,805866667;06/16/2008;10:16:54.0000;06/16/2008;11:39:08.981;0
40,367745;-3,805866667;06/16/2008;10:16:54.0000;06/16/2008;11:39:09.112;0
40,36772333;-3,805896667;06/16/2008;10:16:54.0000;06/16/2008;11:39:09.218;0
40,3677;-3,805928333;06/16/2008;10:16:54.0000;06/16/2008;11:39:09.468;0
40,3677;-3,805928333;06/16/2008;10:16:54.0000;06/16/2008;11:39:09.613;0
40,36765167;-3,805988333;06/16/2008;10:16:54.0000;06/16/2008;11:39:09.733;0
40,36763;-3,806018333;06/16/2008;10:16:55.0000;06/16/2008;11:39:09.972;0
40,36763;-3,806018333;06/16/2008;10:16:55.0000;06/16/2008;11:39:10.114;0
40,367605;-3,806048333;06/16/2008;10:16:55.0000;06/16/2008;11:39:10.218;0
40,36758167;-3,806076667;06/16/2008;10:16:55.0000;06/16/2008;11:39:10.468;0
40,36758167;-3,806076667;06/16/2008;10:16:55.0000;06/16/2008;11:39:10.614;0
40,36756;-3,806106667;06/16/2008;10:16:55.0000;06/16/2008;11:39:10.718;0
40,367515;-3,806163333;06/16/2008;10:16:56.0000;06/16/2008;11:39:10.980;0
40,367515;-3,806163333;06/16/2008;10:16:56.0000;06/16/2008;11:39:11.154;0
40,36749167;-3,806193333;06/16/2008;10:16:56.0000;06/16/2008;11:39:11.222;0
40,36747;-3,806223333;06/16/2008;10:16:56.0000;06/16/2008;11:39:11.468;0
40,36747;-3,806223333;06/16/2008;10:16:56.0000;06/16/2008;11:39:11.655;0
40,36744833;-3,806253333;06/16/2008;10:16:56.0000;06/16/2008;11:39:11.722;0
40,36740667;-3,806315;06/16/2008;10:16:57.0000;06/16/2008;11:39:11.982;0
40,36740667;-3,806315;06/16/2008;10:16:57.0000;06/16/2008;11:39:12.155;0
40,367385;-3,806345;06/16/2008;10:16:57.0000;06/16/2008;11:39:12.223;0
