N_Gis;N_Pla;Demarcaci¢n;Unidad Ctra.;Carretera;PK;Tipo de Eje;Gis_X;Gis_Y;Direccional/C¢digo;C¢digo;Geometr¡a;Doc_WMFNombre;Tipo de Soporte;Pos_Angulo;Doc_WMFAncho;Doc_WMFAlto;Pla_OrdenFila;Sop_Panel
109;115;Madrid;Madrid;A-5;13,463;Tronco;429722,73;4467675,29;Vertical;B2D;Panel;B2D.Png;Poste;1,3276425;472;236;1;Frontal
110;116;Madrid;Madrid;A-5;13,448;Tronco;429741,07;4467665,97;Vertical;B2D;Panel;B2D.Png;Poste;1,3718503;472;236;1;Frontal
111;117;Madrid;Madrid;A-5;13,475;Tronco;429711,2;4467688,44;Vertical;B2D;Panel;B2D.Png;Poste;1,2304144;472;236;1;Frontal
112;118;Madrid;Madrid;A-5;13,462;Tronco;429729,68;4467689,63;Direccional;Direccional;;A5_MAD_H007_01267.Png;Confirmacion;0,8488051;2008;1893;1;Frontal
113;119;Madrid;Madrid;A-5;13,487;Tronco;429695,24;4467684,9;Vertical;P-4;Tri ngulo;P04.Png;Poste;6,2083254;736;648;1;Frontal
113;120;Madrid;Madrid;A-5;13,487;Tronco;429695,24;4467684,9;Vertical;R-301_50;C¡rculo;R301_50.Png;Poste;6,2083254;531;531;2;Frontal
114;121;Madrid;Madrid;A-5;13,495;Ramal;429704,62;4467775,03;Vertical;S-13;Cuadrado;S13.Png;Poste;0,0618678;531;531;1;Frontal
115;122;Madrid;Madrid;A-5;13,517;Ramal;429675,15;4467772,42;Direccional;Direccional;;A5_MAD_H007_01258.Png;Preaviso;3,0920461;1734;2191;1;Frontal
116;123;Madrid;Madrid;A-5;13,545;Tronco;429624,1;4467711,61;Vertical;R-1;Tri ngulo;R1.Png;Poste;1,5707963;736;649;1;Frontal
116;124;Madrid;Madrid;A-5;13,545;Tronco;429624,1;4467711,61;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;1,5707963;531;177;2;Frontal
117;125;Madrid;Madrid;A-5;13,573;Tronco;429588,12;4467711,27;Vertical;S-1a;Rect ngulo;S01A.Png;Poste;1,4959365;531;797;1;Frontal
118;126;Madrid;Madrid;A-5;13,613;Tronco;429536,08;4467701,51;Vertical;R-101;C¡rculo;R101.Png;Poste;4,5837921;531;531;1;Frontal
118;127;Madrid;Madrid;A-5;13,613;Tronco;429536,08;4467701,51;Vertical;R-400c;C¡rculo;R400C.Png;Poste;4,5837921;531;531;1;Posterior
119;128;Madrid;Madrid;A-5;13,649;Tronco;429492;4467712,08;Vertical;R-400c;C¡rculo;R400C.Png;Poste;1,5778383;531;531;1;Frontal
119;129;Madrid;Madrid;A-5;13,649;Tronco;429492;4467712,08;Vertical;R-1;Tri ngulo;R1.Png;Poste;1,5778383;736;649;2;Frontal
120;130;Madrid;Madrid;A-5;13,645;Tronco;429493,11;4467668,05;Vertical;R-400c;C¡rculo;R400C.Png;Poste;4,6132994;531;531;1;Frontal
120;131;Madrid;Madrid;A-5;13,645;Tronco;429493,11;4467668,05;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,6132994;736;649;2;Frontal
121;132;Madrid;Madrid;A-5;13,658;Ramal;429474,58;4467631,61;Vertical;S-1a;Rect ngulo;S01A.Png;Poste;0,7968919;531;797;1;Frontal
122;133;Madrid;Madrid;A-5;13,668;Tronco;429463,93;4467664,87;Vertical;B2B;Panel;B2B.Png;Poste;0,804264;944;236;1;Frontal
123;134;Madrid;Madrid;A-5;13,673;Tronco;429457,28;4467646,54;Vertical;B2B;Panel;B2B.Png;Poste;1,4504135;944;236;1;Frontal
124;135;Madrid;Madrid;A-5;13,667;Ramal;429462,98;4467628,5;Vertical;B2B;Panel;B2B.Png;Poste;1,9624962;944;236;1;Frontal
124;138;Madrid;Madrid;A-5;13,667;Ramal;429462,98;4467628,5;Vertical;B2B;Panel;B2B.Png;Poste;1,9624962;944;236;2;Frontal
125;136;Madrid;Madrid;A-5;13,636;Ramal;429499,62;4467611,03;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;0,9764108;531;531;1;Frontal
126;137;Madrid;Madrid;A-5;13,639;Ramal;429493,8;4467600,59;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;0,9553407;531;531;1;Frontal
127;139;Madrid;Madrid;A-5;13,706;Tronco;429416,93;4467646,17;Vertical;P-4;Tri ngulo;P04.Png;Poste;4,227911;736;648;1;Frontal
128;140;Madrid;Madrid;A-5;13,711;Ramal;429411,11;4467632,86;Vertical;P-4;Tri ngulo;P04.Png;Poste;4,2487414;736;648;1;Frontal
129;141;Madrid;Madrid;A-5;13,78;Tronco;429328,22;4467668;Vertical;R-301_70;C¡rculo;R301_70.Png;Poste;4,5969623;531;531;1;Frontal
130;142;Madrid;Madrid;A-5;13,781;Tronco;429326,84;4467654,79;Vertical;R-301_70;C¡rculo;R301_70.Png;Poste;4,5586814;531;531;1;Frontal
131;143;Madrid;Madrid;A-5;13,666;Ramal;429463,74;4467620,49;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,1769695;736;649;1;Frontal
131;144;Madrid;Madrid;A-5;13,666;Ramal;429463,74;4467620,49;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;4,1769695;531;177;2;Frontal
132;145;Madrid;Madrid;A-5;13,672;Ramal;429456,06;4467608,96;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,0873664;736;649;1;Frontal
132;146;Madrid;Madrid;A-5;13,672;Ramal;429456,06;4467608,96;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;4,0873664;531;177;2;Frontal
133;147;Madrid;Madrid;A-5;13,626;Ramal;429508,22;4467570,99;Direccional;Direccional;;A5_MAD_H007_01262.Png;Confirmacion;4,0819876;2212;1718;1;Frontal
134;148;Madrid;Madrid;A-5;13,598;Ramal;429538,82;4467554,58;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;4,1444283;531;531;1;Frontal
135;149;Madrid;Madrid;A-5;13,548;Ramal;429593,15;4467528,34;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,2948626;736;649;1;Frontal
135;150;Madrid;Madrid;A-5;13,548;Ramal;429593,15;4467528,34;Vertical;R-101;C¡rculo;R101.Png;Poste;4,2948626;531;531;1;Posterior
136;151;Madrid;Madrid;A-5;13,541;Ramal;429603,1;4467535,64;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,2428763;736;649;1;Frontal
136;152;Madrid;Madrid;A-5;13,541;Ramal;429603,1;4467535,64;Vertical;R-101;C¡rculo;R101.Png;Poste;4,2428763;531;531;1;Posterior
137;153;Madrid;Madrid;A-5;13,558;Ramal;429585,66;4467559,04;Vertical;R-400c;C¡rculo;R400C.Png;Poste;1,1767081;531;531;1;Frontal
137;154;Madrid;Madrid;A-5;13,558;Ramal;429585,66;4467559,04;Vertical;R-1;Tri ngulo;R1.Png;Poste;1,1767081;736;649;2;Frontal
